ASV_ID,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1209,Eukaryota,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces_mexicanus
ASV734,Eukaryota,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,unclassified_f__Powellomycetaceae,Powellomycetaceae_sp
ASV275,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV974,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Phaeodactylium,Phaeodactylium_stadleri
ASV2447,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_sp
ASV1710,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1099,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Lindtneria,Lindtneria_leucobryophila
ASV1548,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1381,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV1614,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV329,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV848,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_sp
ASV1597,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV2240,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_sulcatotuberculosa
ASV1452,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2729,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV121,Eukaryota,Fungi,Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,Chytridiomycota_sp
ASV1024,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1442,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1409,Eukaryota,Fungi,Rozellomycota,unclassified_p__Rozellomycota,unclassified_p__Rozellomycota,unclassified_p__Rozellomycota,unclassified_p__Rozellomycota,Rozellomycota_sp
ASV1716,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV2766,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unclassified_o__Hypocreales,unclassified_o__Hypocreales,unclassified_o__Hypocreales
ASV2094,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,unclassified_f__Elsinoaceae,unclassified_f__Elsinoaceae
ASV2756,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosulcatispora,Neosulcatispora_strelitziae
ASV925,Eukaryota,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,Symmetrospora_sp
ASV130,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Papulaspora,Papulaspora_sepedonioides
ASV1967,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2638,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV434,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_chartarum
ASV56,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV266,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV2232,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,unclassified_f__Thelephoraceae,unclassified_f__Thelephoraceae
ASV1429,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia,Antrodia_gossypium
ASV1178,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV2331,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_penicillioides
ASV2132,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium,Conlarium_aquaticum
ASV1953,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Phialosimplex,Phialosimplex_sp
ASV1340,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Trametes,Trametes_trogii
ASV674,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_xenobia
ASV15,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_equina
ASV1743,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2486,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV83,Eukaryota,Fungi,Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota
ASV273,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV191,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_lysipaga
ASV1393,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Paramycosphaerella,Paramycosphaerella_marksii
ASV1417,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Disciseda,Disciseda_candida
ASV1516,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_canina
ASV1256,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Strelitziana,Strelitziana_albiziae
ASV2008,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium,Simplicillium_sp
ASV2601,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_stromaticum
ASV301,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_macrospora
ASV2198,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2269,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_pallidorosea
ASV842,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Montagnula,Montagnula_sp
ASV2488,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV176,Eukaryota,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_alpina
ASV2744,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,unclassified_f__Thelephoraceae,unclassified_f__Thelephoraceae
ASV1246,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_sp
ASV1058,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2531,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2274,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unclassified_g__Diaporthe
ASV579,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1385,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,unclassified_g__Microdochium
ASV863,Eukaryota,Fungi,Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,unclassified_p__Chytridiomycota,Chytridiomycota_sp
ASV1423,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthe,Magnaporthe_grisea
ASV1698,Eukaryota,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_elongata
ASV300,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_macrospora
ASV1573,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV1074,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV2287,Eukaryota,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Sterigmatomyces,unclassified_g__Sterigmatomyces
ASV1166,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,unclassified_f__Ganodermataceae,unclassified_f__Ganodermataceae
ASV1311,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV65,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV87,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe_pediades
ASV1106,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2340,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,unclassified_g__Ramularia
ASV1640,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_ligniaria
ASV1957,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus_granulatus
ASV2567,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV515,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina_catenulata
ASV987,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV457,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Porostereum,Porostereum_spadiceum
ASV885,Eukaryota,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium_yunnanense
ASV1272,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scopulariopsis,Scopulariopsis_acremonium
ASV2761,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_littoralis
ASV2101,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV1942,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2191,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,unclassified_g__Sarocladium
ASV954,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomatales_fam_Incertae_sedis,Tilletiopsis,Tilletiopsis_washingtonensis
ASV1613,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,unclassified_g__Didymella
ASV2485,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota
ASV915,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV2522,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,unclassified_g__Coniochaeta
ASV1379,Eukaryota,Fungi,Ascomycota,Sordariomycetes,unclassified_c__Sordariomycetes,unclassified_c__Sordariomycetes,unclassified_c__Sordariomycetes,unclassified_c__Sordariomycetes
ASV2139,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV259,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV112,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unclassified_o__Trechisporales,unclassified_o__Trechisporales,Trechisporales_sp
ASV2223,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_sp
ASV322,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1927,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV325,Eukaryota,Fungi,Glomeromycota,Glomeromycetes,Glomerales,unclassified_o__Glomerales,unclassified_o__Glomerales,unclassified_o__Glomerales
ASV2360,Eukaryota,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,unclassified_f__Gigasporaceae,Gigasporaceae_sp
ASV1687,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Leuconeurospora,Leuconeurospora_pulcherrima
ASV2391,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV2722,Eukaryota,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Entrophospora_sp
ASV2559,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,unclassified_f__Botryobasidiaceae,unclassified_f__Botryobasidiaceae
ASV2252,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_stromaticum
ASV1747,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV1146,Eukaryota,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,unclassified_f__Gigasporaceae,Gigasporaceae_sp
ASV174,Eukaryota,Fungi,Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,unclassified_p__Basidiomycota,Basidiomycota_sp
ASV2302,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Phomatosporales,Phomatosporaceae,Phomatospora,Phomatospora_biseriata
ASV2322,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,unclassified_g__Pleurotus
ASV177,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_pinophilus
ASV1832,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_sp
ASV771,Eukaryota,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_sp
ASV272,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_indica
ASV2532,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1193,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,unclassified_g__Talaromyces
ASV2811,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Phyllactinia,Phyllactinia_populi
ASV1733,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,unclassified_g__Exophiala
ASV445,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV1788,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unclassified_o__Trechisporales,unclassified_o__Trechisporales,Trechisporales_sp
ASV106,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,unclassified_g__Trichoderma
ASV1993,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV2799,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV535,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV611,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV703,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unclassified_f__Didymellaceae,unclassified_f__Didymellaceae
ASV1142,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
ASV659,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,Hirsutella_subulata
ASV64,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified_g__Alternaria
ASV82,Eukaryota,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_hyalina
ASV233,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_acetilerea
ASV35,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_sphaerale
ASV2103,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia_chrysocreas
ASV623,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,Plenodomus_sp
ASV75,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,unclassified_g__Chaetomium
ASV276,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,Fungi_sp
ASV1190,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia_onofrii
ASV1567,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,unclassified_f__Strophariaceae,unclassified_f__Strophariaceae
ASV1060,Eukaryota,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unclassified_f__Glomeraceae,unclassified_f__Glomeraceae
ASV2234,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,Articulospora_sp
ASV1569,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,unclassified_g__Cosmospora
ASV2738,Eukaryota,Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi,unclassified_k__Fungi
